id;product_id;year;month;cycle
185;1;2024;5;
186;2;2024;5;4611
187;3;2024;5;8848
188;4;2024;5;
189;5;2024;5;8300
190;6;2024;5;
191;7;2024;5;4094
192;8;2024;5;1645
193;9;2024;5;507
194;10;2024;5;
195;11;2024;5;5756
196;12;2024;5;
197;13;2024;5;15783
198;14;2024;5;
199;15;2024;5;
200;16;2024;5;5124
201;17;2024;5;8676
202;18;2024;5;3177
203;19;2024;5;90
204;20;2024;5;100
205;21;2024;5;12020
206;22;2024;5;
207;23;2024;5;
208;24;2024;5;4926
209;25;2024;5;1670
210;26;2024;5;
211;27;2024;5;19545
212;28;2024;5;2420
213;29;2024;5;3765
214;30;2024;5;2468
215;31;2024;5;14396
216;32;2024;5;6959
217;33;2024;5;26788
218;34;2024;5;
219;35;2024;5;
220;36;2024;5;2473
221;37;2024;5;
222;38;2024;5;3195
223;39;2024;5;2843
224;40;2024;5;
225;41;2024;5;
226;42;2024;5;
227;43;2024;5;654
228;44;2024;5;4699
229;45;2024;5;
230;46;2024;5;376
231;47;2024;5;1940
232;48;2024;5;3000
233;49;2024;5;495
234;50;2024;5;6489
235;51;2024;5;17257
236;52;2024;5;130
237;53;2024;5;2188
238;54;2024;5;282
239;55;2024;5;526
240;56;2024;5;1001
241;57;2024;5;
242;58;2024;5;
243;59;2024;5;2208
244;60;2024;5;
245;61;2024;5;
246;62;2024;5;8800
247;63;2024;5;
248;64;2024;5;50
249;65;2024;5;
250;66;2024;5;3217
251;67;2024;5;8900
252;68;2024;5;1304
253;69;2024;5;
254;70;2024;5;
255;71;2024;5;
256;72;2024;5;1465
257;73;2024;5;
258;74;2024;5;
259;75;2024;5;666
260;76;2024;5;3740
261;77;2024;5;
262;78;2024;5;
263;79;2024;5;2337
264;80;2024;5;1644
265;81;2024;5;
266;82;2024;5;
267;83;2024;5;
268;84;2024;5;1522
269;85;2024;5;
270;86;2024;5;2915
271;87;2024;5;820
272;88;2024;5;4172
273;89;2024;5;
274;90;2024;5;
275;91;2024;5;6778
276;92;2024;5;13802
277;93;2024;5;822
278;94;2024;5;9283
279;95;2024;5;
280;96;2024;5;1796
281;97;2024;5;17340
282;98;2024;5;920
283;99;2024;5;5794
284;100;2024;5;2649
285;101;2024;5;3288
286;102;2024;5;3922
287;103;2024;5;21352
288;104;2024;5;851
289;105;2024;5;
290;106;2024;5;
291;107;2024;5;4881
292;108;2024;5;
293;109;2024;5;
294;110;2024;5;
295;111;2024;5;15518
296;112;2024;5;
297;113;2024;5;3714
298;114;2024;5;4450
299;115;2024;5;4000
300;116;2024;5;3550
301;117;2024;5;21641
302;118;2024;5;6446
303;119;2024;5;33982
304;120;2024;5;1410
305;121;2024;5;7680
306;122;2024;5;1424
307;123;2024;5;1300
308;124;2024;5;
309;125;2024;5;
310;126;2024;5;
311;127;2024;5;2
312;128;2024;5;10747
313;129;2024;5;3240
314;130;2024;5;710
315;131;2024;5;550
316;132;2024;5;
317;133;2024;5;
318;134;2024;5;7920
319;135;2024;5;8358
320;136;2024;5;9160
321;137;2024;5;
322;138;2024;5;1943
323;139;2024;5;3946
324;140;2024;5;
325;141;2024;5;17157
326;142;2024;5;43068
327;143;2024;5;3199
328;144;2024;5;
329;145;2024;5;
330;146;2024;5;
331;147;2024;5;774
332;148;2024;5;6269
333;149;2024;5;4239
334;150;2024;5;2890
335;151;2024;5;
336;152;2024;5;
337;153;2024;5;1798
338;154;2024;5;
339;155;2024;5;12926
340;156;2024;5;
341;157;2024;5;
342;158;2024;5;3477
343;159;2024;5;8102
344;160;2024;5;
345;161;2024;5;
346;162;2024;5;776
347;163;2024;5;
348;164;2024;5;31088
349;165;2024;5;2558
350;166;2024;5;7644
351;167;2024;5;
352;168;2024;5;6487
353;169;2024;5;512
354;170;2024;5;
355;171;2024;5;
356;172;2024;5;
357;173;2024;5;
358;174;2024;5;
359;175;2024;5;2210
360;176;2024;5;65535
361;177;2024;5;
362;178;2024;5;1250
363;179;2024;5;
364;180;2024;5;7689
365;181;2024;5;289
366;182;2024;5;15
367;183;2024;5;51
368;184;2024;5;12459
