id;product_id;year;month;cycle
1;1;2024;6;
2;2;2024;6;
3;3;2024;6;8886
4;4;2024;6;
5;5;2024;6;8385
6;6;2024;6;
7;7;2024;6;4206
8;8;2024;6;1763
9;9;2024;6;507
10;10;2024;6;
11;11;2024;6;5799
12;12;2024;6;
13;13;2024;6;15828
14;14;2024;6;
15;15;2024;6;
16;16;2024;6;5448
17;17;2024;6;8715
18;18;2024;6;3189
19;19;2024;6;110
20;20;2024;6;139
21;21;2024;6;
22;22;2024;6;11816
23;23;2024;6;
24;24;2024;6;4996
25;25;2024;6;1700
26;26;2024;6;
27;27;2024;6;19624
28;28;2024;6;2471
29;29;2024;6;3854
30;30;2024;6;
31;31;2024;6;
32;32;2024;6;
33;33;2024;6;
34;34;2024;6;
35;35;2024;6;1
36;36;2024;6;
37;37;2024;6;
38;38;2024;6;3321
39;39;2024;6;2977
40;40;2024;6;
41;41;2024;6;
42;42;2024;6;
43;43;2024;6;675
44;44;2024;6;4699
45;45;2024;6;5601
46;46;2024;6;
47;47;2024;6;1955
48;48;2024;6;3025
49;49;2024;6;506
50;50;2024;6;6576
51;51;2024;6;17297
52;52;2024;6;
53;53;2024;6;2243
54;54;2024;6;309
55;55;2024;6;528
56;56;2024;6;1017
57;57;2024;6;
58;58;2024;6;
59;59;2024;6;
60;60;2024;6;
61;61;2024;6;3
62;62;2024;6;
63;63;2024;6;
64;64;2024;6;67
65;65;2024;6;
66;66;2024;6;
67;67;2024;6;8900
68;68;2024;6;1339
69;69;2024;6;
70;70;2024;6;
71;71;2024;6;
72;72;2024;6;1527
73;73;2024;6;
74;74;2024;6;
75;75;2024;6;
76;76;2024;6;3770
77;77;2024;6;
78;78;2024;6;
79;79;2024;6;2454
80;80;2024;6;1790
81;81;2024;6;
82;82;2024;6;
83;83;2024;6;
84;84;2024;6;1569
85;85;2024;6;128
86;86;2024;6;2950
87;87;2024;6;
88;88;2024;6;4172
89;89;2024;6;
90;90;2024;6;
91;91;2024;6;6885
92;92;2024;6;13890
93;93;2024;6;825
94;94;2024;6;9380
95;95;2024;6;
96;96;2024;6;1867
97;97;2024;6;17461
98;98;2024;6;
99;99;2024;6;5859
100;100;2024;6;
101;101;2024;6;3405
102;102;2024;6;4025
103;103;2024;6;21480
104;104;2024;6;1080
105;105;2024;6;
106;106;2024;6;
107;107;2024;6;
108;108;2024;6;
109;109;2024;6;
110;110;2024;6;
111;111;2024;6;15568
112;112;2024;6;
113;113;2024;6;3792
114;114;2024;6;4618
115;115;2024;6;4165
116;116;2024;6;3692
117;117;2024;6;21673
118;118;2024;6;6660
119;119;2024;6;34079
120;120;2024;6;1595
121;121;2024;6;7907
122;122;2024;6;1500
123;123;2024;6;1385
124;124;2024;6;
125;125;2024;6;
126;126;2024;6;
127;127;2024;6;2
128;128;2024;6;
129;129;2024;6;3318
130;130;2024;6;770
131;131;2024;6;600
132;132;2024;6;
133;133;2024;6;
134;134;2024;6;8178
135;135;2024;6;8372
136;136;2024;6;9377
137;137;2024;6;
138;138;2024;6;
139;139;2024;6;3946
140;140;2024;6;
141;141;2024;6;17195
142;142;2024;6;43094
143;143;2024;6;3240
144;144;2024;6;
145;145;2024;6;
146;146;2024;6;
147;147;2024;6;
148;148;2024;6;
149;149;2024;6;4267
150;150;2024;6;2933
151;151;2024;6;
152;152;2024;6;66
153;153;2024;6;1844
154;154;2024;6;3094
155;155;2024;6;
156;156;2024;6;1
157;157;2024;6;
158;158;2024;6;
159;159;2024;6;8102
160;160;2024;6;
161;161;2024;6;
162;162;2024;6;812
163;163;2024;6;
164;164;2024;6;31112
165;165;2024;6;2574
166;166;2024;6;7690
167;167;2024;6;
168;168;2024;6;6600
169;169;2024;6;527
170;170;2024;6;
171;171;2024;6;
172;172;2024;6;
173;173;2024;6;
174;174;2024;6;
175;175;2024;6;2367
176;176;2024;6;
177;177;2024;6;
178;178;2024;6;1280
179;179;2024;6;
180;180;2024;6;7715
181;181;2024;6;299
182;182;2024;6;
183;183;2024;6;
184;184;2024;6;
